"Version","Data Structure Name","Variable Set","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","CDISC CT Codelist Submission Value(s)","Described Value Domain(s)","Value List Value","Core","CDISC Notes"
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Subject Identifier Variable","STUDYID","Study Identifier","Char",,"","","","Req","Must be identical to the ADSL variable."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Subject Identifier Variable","USUBJID","Unique Subject Identifier","Char",,"","","","Req","Must be identical to the ADSL variable."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Subject Identifier Variable","ASEQ","Analysis Sequence Number","Num",,"","","","Perm","Sequence number given to ensure uniqueness of subject record within the analysis dataset. As long as values are unique within a dataset, any valid number can be used for ASEQ. The use of this variable will be addressed in detail in the next version of ADaM IG."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTP","Planned Treatment","Char",,"","","","Req","TRTP is a record-level identifier that represents the planned treatment attributed to a record for analysis purposes."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTPN","Planned Treatment (N)","Num",,"","","","Perm","The numeric code for TRTP. One-to-one map to TRTP."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTA","Actual Treatment","Char",,"","","","Cond","TRTA is a record-level identifier that represents the actual treatment attributed to a record for analysis purposes."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTAN","Actual Treatment (N)","Num",,"","","","Perm","The numeric code for TRTA. One-to-one map to TRTA."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTxxP","Planned Treatment for Period xx","Char",,"","","","Cond","Subject-level identifier that represents the planned treatment for period xx. Must be identical to the ADSL variable. The letter 'xx' in the variable name refer to a specific period where 'xx' is replaced with a zero-padded two-digit integer (i.e., 01 - 99)."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTxxPN","Planned Treatment for Period xx (N)","Num",,"","","","Perm","The numeric code variable for TRTxxP. One-to-one map to TRTxxP. If included in ADSL, must be identical to the ADSL variable."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTxxA","Actual Treatment for Period xx","Char",,"","","","Cond","Subject-level identifier that represents the actual treatment for period xx. If included in ADSL, must be identical to the ADSL variable."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Treatment Variables","TRTxxAN","Actual Treatment for Period xx (N)","Num",,"","","","Perm","The numeric code variable for TRTxxA. One-to-one map to TRTxxA. If included in ADSL, must be identical to the ADSL variable."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Analysis Parameter Variables","PARAM","Parameter","Char",,"","","","Req","The description of the analysis parameter. Examples include: 'Time to Death (days)', 'Time to First Hospitalization Through Day 168 (days)', 'Time to Progression Free Survival (days)', and 'Time to Hepatitis B Seroconversion (days)'. PARAM should be sufficient to describe clear contents of AVAL, including the unit of the measurement, if applicable. PARAM may be longer than 40 characters in length (200-character limit)."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Analysis Parameter Variables","PARAMCD","Parameter Code","Char",,"","","","Req","The short name of the analysis parameter in PARAM. Values of PARAMCD should follow SAS 5 variable naming conventions (8 characters or less; starts with letter; contains only letters and digits). There must be a one-to-one mapping with PARAM. Examples include DEATH, PFS, and T2SERO."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Analysis Parameter Variables","AVAL","Analysis Value","Num",,"","","","Req","AVAL is the elapsed time to the event of interest from the origin. For example, if AVAL is measured in days, AVAL would be ADT - STARTDT or ADT - STARTDT + 1"
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","STARTDT","Time to Event Origin Date for Subject","Num",,"","","","Perm","The original date of risk for the time-to-event analysis. This is generally the time at which a subject is first at risk for the event of interest evaluation (as defined in the Protocol or Statistical Analysis Plan). For example, this may be the randomization date or the date of first study therapy exposure."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","STARTDTM","Time to Event Origin Date/Time","Num",,"","","","Perm","The date/time associated with STARTDT in numeric format."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","STARTDTF","Origin Date Imputation Flag","Char","C81223","DATEFL","","","Cond","The level of imputation of the origin date. See General Timing Variable Convention #6 in the ADaM IG [2]."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","STARTTMF","Origin Time Imputation Flag","Char","C81226","TIMEFL","","","Cond","The level of imputation of the origin time. See General Timing Variable Convention #7 in the ADaM IG [2]."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","CNSR","Censor","Num",,"","","","Cond","CNSR is a required variable for a time-to-event analysis dataset, though it is a conditionally required variable with respect to the ADaM BDS. For example, CNSR = 0 for event and CNSR > 0 for censored records."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","EVNTDESC","Event or Censoring Description","Char",,"","","","Perm","Describe the event of interest or an event that warrants censoring. Values for EVNTDESC will be defined in the metadata as sponsor-defined controlled terminology (See Section 7.1)."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Time-to-Event Variables ","CNSDTDSC","Censor Date Description","Char",,"","","","Perm","Describe the circumstance represented by the censoring date if different from the event date that warrants censoring."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Timing Variables","ADT","Analysis Date","Num",,"","","","Perm","Analysis date of event or censoring associated with AVAL in numeric format."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Timing Variables","ADTM","Analysis Date/Time","Num",,"","","","Perm","Analysis date/time of event or censoring associated with AVAL in numeric format."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Timing Variables","ADTF","Analysis Date Imputation Flag","Char","C81223","DATEFL","","","Cond","The level of imputation of ADT based on the source SDTM DTC variable. See General Timing Variable Convention #6 in the ADaM IG [2]."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Timing Variables","ATMF","Analysis Time Imputation Flag","Char","C81226","TIMEFL","","","Cond","The level of imputation of ATM based on the source SDTM DTC variable. See General Timing Variable Convention #7 in the ADaM IG [2]."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Timing Variables","AVISIT","Analysis Visit","Char",,"","","","Cond","Analysis visit where event or censoring occurred. AVISIT may contain the visit names as observed (i.e., from SDTM VISIT), derived visit names, or conceptual description (e.g., endpoint)."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Data Point Traceability Variables","SRCDOM","Source Data","Char",,"","","","Perm","The name of the SDTM domain (or dataset) or analysis dataset that relates to the analysis variable (e.g., AVAL). Allowing SRCDOM to be not only SDTM, but also ADaM dataset will be addressed in the next version of ADaM IG."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Data Point Traceability Variables","SRCVAR","Source Variable","Char",,"","","","Perm","The name of the column (in the domain or dataset identified by SRCDOM) that relates to the analysis variable. In the event that SRCDOM is a SUPPQUAL domain, then SRCVAR will be populated with the value of QNAM."
"ADaM BDS for TTE v1.0","Basic Data Structure for Time to Event Analyses","Data Point Traceability Variables","SRCSEQ","Source Sequence Number","Num",,"","","","Perm","The sequence number --SEQ or ASEQ of the row (in the domain or dataset identified by SRCDOM) that relates to the analysis variable."
